Date,MeanTemp,GHG emmisions
06/06/1909,-0.4145,133629968.5
06/07/1909,-0.43,124657440
06/07/1909,-0.435,119411299
06/08/1909,-0.3,127352842.5
06/08/1909,-0.3052,119638463.6
06/09/1909,-0.37,135546443.4
06/09/1909,-0.3611,126796217.9
06/10/1909,-0.39,119599871.7
06/10/1909,-0.3935,122437248.7
06/11/1909,-0.31,121411032.3
06/11/1909,-0.2733,119479513.7
06/12/1909,-0.55,134312122.7
06/12/1909,-0.4071,129490146.8
06/01/1910,-0.44,120790495.7
06/01/1910,-0.3035,125639181.4
06/02/1910,-0.43,129334056.9
06/02/1910,-0.3627,126942034.8
06/03/1910,-0.47,126492895.6
06/03/1910,-0.4202,130598239.5
06/04/1910,-0.39,134651164.1
06/04/1910,-0.339,127898985.2
06/05/1910,-0.34,134857333.1
06/05/1910,-0.2999,125727013.9
06/06/1910,-0.36,134873388.5
06/06/1910,-0.3525,130919029.3
06/07/1910,-0.31,118952588.5
06/07/1910,-0.3264,138550540.5
06/08/1910,-0.34,120899371.3
06/08/1910,-0.3325,133725863.5
06/09/1910,-0.37,138989903.3
06/09/1910,-0.3322,121049604.5
06/10/1910,-0.39,130805771.1
06/10/1910,-0.4199,127216996.6
06/11/1910,-0.56,130336376.3
06/11/1910,-0.4956,123448862.2
06/12/1910,-0.69,134013948.2
06/12/1910,-0.5626,120550825.2
06/01/1911,-0.64,124502286
06/01/1911,-0.5067,134185883.1
06/02/1911,-0.6,127803964.4
06/02/1911,-0.5265,144202747.3
06/03/1911,-0.62,136290512.6
06/03/1911,-0.5697,128554314.9
06/04/1911,-0.55,130567943
06/04/1911,-0.5099,136736225.2
06/05/1911,-0.51,144439283.6
06/05/1911,-0.4775,142677592.8
06/06/1911,-0.47,125261683.9
06/06/1911,-0.4443,138900558.5
06/07/1911,-0.41,127585583.4
06/07/1911,-0.4658,143770028.5
